When,AB GDP_percap_gr,ON GDP_percap_gr,QC GDP_percap_gr,SK GDP_percap_gr,BC GDP_percap_gr
2000-10-01,,,,,
2001-10-01,-0.002120257378689594,-0.00012450088074500432,0.011533549567687595,-0.003839219998930332,-0.003367590600753867
2002-10-01,0.0029672101101521076,0.018212229481761044,0.02329086111437384,0.0018147312098302226,0.03231635337389016
2003-10-01,0.019448248959738512,0.00012226327046005458,0.00501153306206481,0.04290678204763987,0.01845457275962059
2004-10-01,0.03729529401114373,0.01628863832671623,0.018512567152854986,0.04465284029368699,0.03261296181975615
2005-10-01,0.01914617153626552,0.020967118364164872,0.009679328964884881,0.027126383450375657,0.03678793207847941
2006-10-01,0.032213719563794596,0.009337441762062637,0.004928555212076802,-0.012469277533102674,0.03476703498521694
2007-10-01,-0.003499586240249708,0.0006478916829877335,0.01743811025462394,0.025564976372896675,0.01631491998683421
2008-10-01,-0.01098182092792599,-0.01209064639836499,0.0078038843907570765,0.03657889890878363,-0.007910153509403717
2009-10-01,-0.07252805930206307,-0.04185195616090687,-0.021621856813693552,-0.06887638148627218,-0.03923304062229127
2010-10-01,0.036280098892431445,0.019565387682998203,0.010836913713884178,0.03326110622512979,0.014879123213023426
2011-10-01,0.05043097509970895,0.01730931376969891,0.012771209659576455,0.03932413027996784,0.019003111464731104
2012-10-01,0.015294636052466837,0.004855336953369038,0.00612437206351224,0.0013734967435863332,0.011214402542204516
2013-10-01,0.02849198390558727,0.004918952603328419,0.006983050508491129,0.050072340409787364,0.009012005388025157
2014-10-01,0.03403451190447271,0.01701950303427613,0.010753027213885824,0.007258140976631022,0.018244721173026557
2015-10-01,-0.047247789579490274,0.019364157745819233,0.006928558291046993,-0.015192258089216981,0.009350015563645675
2016-10-01,-0.04769904821595283,0.00865575102895666,0.008774330039685863,-0.017007161151879724,0.012405442376854259
2017-10-01,0.030528408921338457,0.012700576948692532,0.017806982671676685,0.010281956617479882,0.021411939256283263
2018-10-01,0.006022669435812977,0.01666577543160752,0.019123489401434934,0.0058778397004244365,0.02019575752472824
2019-10-01,-0.016464441337818436,0.003088657635922809,0.013704801824373503,-0.020150716956935377,0.012307560656601657
2020-10-01,-0.08806203449601291,-0.056350669032424805,-0.05774883117940355,-0.052733013660189565,-0.03923156513089954
2021-10-01,0.04121940122161405,0.0340799539105876,0.050049204193223895,-0.005315461584350034,0.04297791311854304
